task_id,target_commit,base_commit,task_time,time_bucket,module_family,terminal_status,failure_label,winning_profile_id,base_workspace_prepared,changed_tests_reconstructed,hidden_verifier_injection_works,base_reference_behavior_meaningful,verifier_duration_seconds,changed_implementation_files,changed_test_files,pytest_entry_files
sphinx__hist__0098,e7fc03bce2c2577a9c5331ce5b2fa43a66ce7773,8f893a625d1a2768caebc79c0e6d3e3e89c4b9e7,2022-07-17T20:27:43+09:00,2022_2023,builders,passed,,py39_2018_2021_editable,True,True,True,True,24.333,sphinx/builders/html/__init__.py,tests/roots/test-build-html-theme-having-multiple-stylesheets/conf.py;tests/test_build_html.py,tests/test_build_html.py
sphinx__hist__0116,b1390c4191319e75d14ce3e6e73ef43c31d981b4,3d25662550aba00d6e2e43d3ff76dce958079368,2022-10-05T15:44:41+02:00,2022_2023,builders,failed,base_passed_changed_tests_not_meaningful,py39_2018_2021_editable,True,True,True,False,42.758,sphinx/builders/__init__.py,tests/test_build_html.py;tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py,tests/test_build_html.py;tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py
sphinx__hist__0134,2902c6c55be460aae10b08504ed2fde4f3795f64,7a4ce71f6b464b0f1d8f3c5af535f026b0051f0b,2023-03-17T16:41:22Z,2022_2023,extensions,passed,,py310_2022_2023_editable,True,True,True,True,5.187,sphinx/ext/intersphinx.py,tests/test_ext_intersphinx.py,tests/test_ext_intersphinx.py
sphinx__hist__0160,8452300d54dce2da751941d9547dd54dc03e69bf,fe08cec019c52c15b7f7365013134e3f3d1b3739,2023-07-27T21:27:14+01:00,2022_2023,config,passed,,py310_2022_2023_editable,True,True,True,True,10.24,sphinx/config.py,tests/test_config.py,tests/test_config.py
sphinx__hist__0178,0bad447070d45fc5538aed9bf15a1716c628f321,6cb783c0024a873722952a67ebb9f41771c8eb6d,2023-08-14T17:02:04+02:00,2022_2023,directives,passed,,py310_2022_2023_editable,True,True,True,True,4.446,sphinx/directives/other.py,tests/roots/test-directive-include/conf.py;tests/test_directive_other.py,tests/test_directive_other.py
sphinx__hist__0194,246312287e7f95a6852c481bdf9c0bda7064aa0e,64e7ba5e3fd31cfcca7de6fb447bf140e806d0e0,2023-12-28T06:51:32Z,2022_2023,extensions,failed,base_passed_changed_tests_not_meaningful,py310_2022_2023_editable,True,True,True,False,3.817,sphinx/__init__.py;sphinx/testing/fixtures.py;sphinx/testing/path.py;sphinx/writers/texinfo.py,tests/test_ext_imgconverter.py;tests/test_pycode_ast.py,tests/test_ext_imgconverter.py;tests/test_pycode_ast.py
sphinx__hist__0195,efd24cf4ca92077f7520ef7b7a07bcf6d7290549,4ce2d8476138977743b920b57864d49b7509f038,2024-01-04T02:23:45Z,2024_plus,config,passed,,py312_2024_editable,True,True,True,True,20.469,sphinx/application.py;sphinx/config.py;sphinx/ext/autosummary/generate.py;sphinx/theming.py,tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py;tests/test_config.py,tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py;tests/test_config.py
sphinx__hist__0228,67303920fe57355093042b85897cbf48857fb2df,e1d5235d5d68566c9676c142a8e6424daee75b81,2024-04-12T23:32:12+01:00,2024_plus,builders,passed,,py312_2024_editable,True,True,True,True,12.814,sphinx/testing/fixtures.py,tests/test_builders/test_build_html_image.py;tests/test_builders/test_build_latex.py,tests/test_builders/test_build_html_image.py;tests/test_builders/test_build_latex.py
sphinx__hist__0260,2a30bb661f575e47be136c4ab0cf91f5f2520300,aeebfabe09fa7aaf3465079e120ce518d30a1af4,2024-07-15T06:17:36+02:00,2024_plus,builders,failed,reference_dependency_mismatch_or_install_failed,,True,True,True,False,24.223,sphinx/writers/latex.py,tests/test_builders/test_build_html.py;tests/test_builders/test_build_latex.py;tests/test_domains/test_domain_py.py,tests/test_builders/test_build_html.py;tests/test_builders/test_build_latex.py;tests/test_domains/test_domain_py.py
sphinx__hist__0312,cc1b13ccbfaa3c6818839f66d1bb0627203bd204,b2d69a7f41687e5c3ddd037ed101312892a69efe,2024-10-07T22:19:20+02:00,2024_plus,extensions,passed,,py312_2024_editable,True,True,True,True,13.715,sphinx/ext/intersphinx/_load.py,tests/test_extensions/test_ext_intersphinx.py,tests/test_extensions/test_ext_intersphinx.py
sphinx__hist__0359,c49d925b4d861d28cc11356846f687c64069887d,bb68e72333b7d77682127a076d184be042e93732,2025-02-13T00:16:26Z,2024_plus,domains,passed,,py312_2024_editable,True,True,True,True,5.898,sphinx/domains/std/__init__.py;sphinx/writers/html5.py;sphinx/writers/latex.py;sphinx/writers/manpage.py;sphinx/writers/texinfo.py;sphinx/writers/text.py,tests/test_directives/test_directive_productionlist.py,tests/test_directives/test_directive_productionlist.py
sphinx__hist__0391,9c4902f0908d6b896f7b07ec75fd23e3b53f6ff0,5cf62e55c96824545c157372d741b595d8c98c7f,2025-06-19T09:33:38+01:00,2024_plus,builders,passed,,py314_current_editable,True,True,True,True,6.75,sphinx/builders/__init__.py,tests/test_builders/test_build_warnings.py,tests/test_builders/test_build_warnings.py
sphinx__hist__0424,f1941789674e08cb3088ca3452998c3e4bd3088a,a8f2b9629b012126a2a8fa2103f7dab360bfea0b,2025-10-17T01:56:54+01:00,2024_plus,extensions,passed,,py314_current_editable,True,True,True,True,18.26,sphinx/ext/autodoc/_documenters.py;sphinx/ext/autosummary/__init__.py,tests/test_ext_autodoc/test_ext_autodoc.py,tests/test_ext_autodoc/test_ext_autodoc.py
sphinx__hist__0471,b127b9478aa4654a82eeadf1a1e89715d3927608,20f1c46790d370b50fa7396cca3e1cc658ce9f89,2025-12-31T06:58:12-08:00,2024_plus,builders,passed,,py314_current_editable,True,True,True,True,8.763,sphinx/application.py;sphinx/builders/html/__init__.py;sphinx/registry.py;sphinx/util/fileutil.py,tests/roots/test-ext_static_dir/conf.py;tests/roots/test-ext_static_dir/staticdirext/__init__.py;tests/test_builders/test_build_html_assets.py,tests/test_builders/test_build_html_assets.py
