task_id,repo_id,split,adapter_id,terminal_status,scoreable_flag,pass_flag,result_prefix,batch_id,task_family,task_time_bucket,source_context_class,source_context_quality,statement_provenance,release_eligibility_provenance,public_context_ref_count,implementation_file_count,test_file_count,audit_status,ambiguity_flag_count,caution_flag_count,material_leakage_flag_count
attrs__v2__237,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,attrs:_make,middle_2019_2022,public_issue_and_pr_context_repaired,public_context_repaired,attrs_source_repair_overlay,attrs_source_repair_overlay,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__148,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__229,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,boltons:listutils,recent_2023_or_later,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__142,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,boltons:setutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__068,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,boltons:cacheutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__133,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,boltons:strutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
click__third__045,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,click:_bashcomplete,middle_2019_2022,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__203,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,click:_termui_impl,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,2,1,accepted_for_paid_package,0,1,0
click__third__217,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__271,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,click:termui,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__204,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,1,0
attrs__v2__264,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__187,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__044,attrs,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__253,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__237,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,attrs:_make,middle_2019_2022,public_issue_and_pr_context_repaired,public_context_repaired,attrs_source_repair_overlay,attrs_source_repair_overlay,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__148,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__229,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,boltons:listutils,recent_2023_or_later,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__142,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,boltons:setutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__068,boltons,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,boltons:cacheutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__133,boltons,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,boltons:strutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
click__third__045,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,click:_bashcomplete,middle_2019_2022,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__203,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,click:_termui_impl,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,2,1,accepted_for_paid_package,0,1,0
click__third__217,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__271,click,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,click:termui,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,1,0
click__third__204,click,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_kilo_workspace,2,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,1,0
attrs__v2__250,attrs,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__227,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__048,attrs,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__223,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__261,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:validators,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__206,attrs,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_next_gen,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__196,attrs,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__052,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__056,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,legacy_2018_or_earlier,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__220,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__215,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__158,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__202,attrs,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,2,1,accepted_for_paid_package,0,0,0
attrs__v2__235,attrs,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_codex_workspace,3,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__250,attrs,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__227,attrs,B_eval,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__048,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__223,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__261,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:validators,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__206,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_next_gen,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__196,attrs,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__052,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__056,attrs,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,legacy_2018_or_earlier,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__220,attrs,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__215,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__158,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__202,attrs,H_future,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,2,1,accepted_for_paid_package,0,0,0
attrs__v2__235,attrs,H_future,kilo_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_3_attrs_remainder_kilo_workspace,3,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__147,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__093,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:ioutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__007,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:tbutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__155,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:dictutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__141,boltons,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:urlutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__163,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:funcutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__170,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:setutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__144,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:setutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__091,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:ioutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__086,boltons,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:iterutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__006,boltons,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:tbutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
boltons__v2__087,boltons,H_future,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:funcutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
boltons__v2__164,boltons,H_future,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_4_boltons_remainder_codex_workspace,4,boltons:queueutils,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
