task_id,commit,parent_base_commit,task_time,time_bucket,module_family,preliminary_risk_label,changed_implementation_files,changed_test_files,pytest_entry_files,public_source_context_reference,expected_targeted_verifier_command
sphinx__hist__0016,a1b0e55548589253f997e9b9a1f2465c3c7e22f3,06107f838c28ab6ca6bfc2cc208e15997fcb2146,2021-05-22T01:55:43+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:1874,python -m pytest <changed_tests> -q
sphinx__hist__0017,0fb8e33f327d5f611ff338efe0be6debb1d95481,4d90277c49633705148793ab02b28353c8a59b48,2021-05-22T22:24:09+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py,tests/test_util_inspect.py,tests/test_util_inspect.py,pr_or_issue:9250,python -m pytest <changed_tests> -q
sphinx__hist__0018,31ec519d3808617e333794493e0aabc5fe5d4f81,8ec06e9a1bd862cd713b9db748e039ccc7b3e15b,2021-05-30T02:15:28+09:00,pre_2022,util,normal,sphinx/util/inspect.py,tests/test_util_inspect.py,tests/test_util_inspect.py,pr_or_issue:9272,python -m pytest <changed_tests> -q
sphinx__hist__0019,201f61f7226c764769f1b0be4e5d1918d38ff1f2,2809b30c17a8fe362910f40b91fa2c17012d3ef1,2021-05-30T03:16:55+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9280,python -m pytest <changed_tests> -q
sphinx__hist__0020,9a9433e4037270c63ebc33831aa8c2b6dde37a77,2809b30c17a8fe362910f40b91fa2c17012d3ef1,2021-05-30T13:50:07+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/instance_variable.py;tests/test_ext_autodoc_autoattribute.py,tests/test_ext_autodoc_autoattribute.py,pr_or_issue:9283,python -m pytest <changed_tests> -q
sphinx__hist__0021,90470b094e61ddb943fc1b8e645ca14516aff5c3,82dad44e5bd3776ecb6fd8ded656bc8151d0e63d,2021-06-02T23:30:29+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9268,python -m pytest <changed_tests> -q
sphinx__hist__0022,b9158b96d261eb6126dbd035aa72c621ddea91e8,6918e69600810a4664e53653d6ff0290c3c4a788,2021-06-21T02:43:55+09:00,pre_2022,core_or_other,normal,sphinx/pycode/ast.py,tests/test_pycode_ast.py,tests/test_pycode_ast.py,pr_or_issue:9364,python -m pytest <changed_tests> -q
sphinx__hist__0023,2aef00d7bd1a40de18cbbecfe89d799e0bfaf79a,b187ca0951cb270013e5b0cc361d6cecc1d4d616,2021-06-29T21:48:19+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/typehints.py;tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:9384,python -m pytest <changed_tests> -q
sphinx__hist__0024,007dee7590221541494f4683b7027b2f378c195d,b09acabf0010ca95bab6f89012bb0e367cc1248e,2021-07-07T09:13:44+09:00,pre_2022,util,normal,sphinx/util/typing.py,tests/test_util_typing.py,tests/test_util_typing.py,pr_or_issue:9362,python -m pytest <changed_tests> -q
sphinx__hist__0025,120525563c4ed38ca2d05dc4757e81cf5415c473,939c7bb7ff7c53a4d27df067cea637540f0e1dad,2021-07-17T14:24:31+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9445,python -m pytest <changed_tests> -q
sphinx__hist__0026,38d80c3d0f899a6fa40e52b9b3f7ac5bcaa73311,120525563c4ed38ca2d05dc4757e81cf5415c473,2021-07-17T15:02:23+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py,tests/roots/test-ext-autodoc/target/properties.py;tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autoproperty.py,tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autoproperty.py,pr_or_issue:9445,python -m pytest <changed_tests> -q
sphinx__hist__0027,65c089bd4094acb7ccae887c9b9d706c8a390d5c,f9941b9402821de2d60c1e94f9ac5cf0379640d0,2021-07-22T23:25:02+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoproperty.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoproperty.py,pr_or_issue:9487,python -m pytest <changed_tests> -q
sphinx__hist__0028,9d7fa75d4a247b5898e25de2311385ad0405ce7a,8fd4373d3aec07b8d9a4fb159b6236f4dc715b21,2021-08-20T17:05:58+01:00,pre_2022,extensions,normal,sphinx/ext/autosummary/__init__.py,tests/test_ext_autosummary.py,tests/test_ext_autosummary.py,pr_or_issue:9568,python -m pytest <changed_tests> -q
sphinx__hist__0029,3e24190564451967cd070a6d0c4e0e8612edc3eb,9ed054279aeffd5b1d0642e2d24a8800389de29f,2021-08-30T00:20:22+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9585,python -m pytest <changed_tests> -q
sphinx__hist__0030,34664ce4ce2ee298d57137a0f94961b45d3f043f,80fbbb8462f075644e229c9d00293d4afde7adf2,2021-09-02T02:25:31+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9576,python -m pytest <changed_tests> -q
sphinx__hist__0032,c5b35efce353a3e1670185704bcd1453b9da3533,336605b8e4b14c5da9f4d872fb730dc6894edb77,2021-09-05T18:28:27+09:00,pre_2022,util,normal,sphinx/util/typing.py,tests/test_util_typing.py,tests/test_util_typing.py,pr_or_issue:9560,python -m pytest <changed_tests> -q
sphinx__hist__0033,ed227d7d3c1e9d386b58bacfd7d379fff380db4a,ba2439a105e5a68a44dd3f839e86332889cce451,2021-09-14T23:39:47+09:00,pre_2022,util,wide_changed_test_oracle,sphinx/util/typing.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autodata.py;tests/test_util_typing.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autodata.py;tests/test_util_typing.py,pr_or_issue:9630,python -m pytest <changed_tests> -q
sphinx__hist__0034,ccfca458eac84342d8f90f8d6c93b4711a849614,ba2439a105e5a68a44dd3f839e86332889cce451,2021-09-17T02:19:34+09:00,pre_2022,extensions,wide_changed_test_oracle,sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py,tests/roots/test-ext-autodoc/target/coroutine.py;tests/roots/test-ext-autodoc/target/functions.py;tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autofunction.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoclass.py;tests/test_ext_autodoc_autofunction.py,pr_or_issue:9639,python -m pytest <changed_tests> -q
sphinx__hist__0035,10b7f0e2522e44fe33f900ef317c25bbadeeb5a0,a05dc0b41992b92fc4e352439a27eddd0f5a88a9,2021-09-20T13:20:26+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py,tests/roots/test-ext-autodoc/target/classes.py;tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc_autoclass.py,pr_or_issue:9607,python -m pytest <changed_tests> -q
sphinx__hist__0036,e79efef63a7e748cc96c95a592a59a2a16704bf1,a05dc0b41992b92fc4e352439a27eddd0f5a88a9,2021-09-21T02:03:31+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/mock.py,tests/test_util_typing.py,tests/test_util_typing.py,pr_or_issue:9657,python -m pytest <changed_tests> -q
sphinx__hist__0037,d13b86e02fc22ca29bd06a57151afad77b81e832,3774c124f8936ec6ca75d935ba57926d15d92f5d,2021-09-23T10:54:54+09:00,pre_2022,util,normal,sphinx/util/typing.py,tests/test_util_typing.py,tests/test_util_typing.py,pr_or_issue:9664,python -m pytest <changed_tests> -q
sphinx__hist__0038,5fb6fb603965fe32ecbb45f408eea4060a979c28,5fb51fb1467dc5eea7505402c3c5d9b378d3b441,2021-09-26T00:45:18+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:9651,python -m pytest <changed_tests> -q
sphinx__hist__0039,b9204186f0f2594cc2cbd8dc6aeb7885d81fe818,0424210614772db35f566d08349fcd24f2b2a4b7,2021-10-03T13:03:23+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9697,python -m pytest <changed_tests> -q
sphinx__hist__0040,3c9e53852dc70a9402690b01b96fc5d5c864fe84,f050a7775dfc9000f55d023d36d925a8d02ccfa8,2021-10-07T00:07:17+09:00,pre_2022,core_or_other,normal,sphinx/extension.py,tests/test_extension.py,tests/test_extension.py,pr_or_issue:9708,python -m pytest <changed_tests> -q
sphinx__hist__0041,b778ee806eabbe39c4366de1348f51f47a4dddd6,e6f9603494eee973664fe0ac49d9ef473011ee3f,2021-10-23T14:59:36+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/slots.py;tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autoclass.py,pr_or_issue:9752,python -m pytest <changed_tests> -q
sphinx__hist__0042,3c5b31b50d48fce2e2b7d2f950321e608d5bae00,4c91c038b220d07bbdfe0c1680af42fe897f342c,2021-10-30T02:01:38+09:00,pre_2022,util,normal,sphinx/util/inspect.py,tests/test_util_inspect.py,tests/test_util_inspect.py,pr_or_issue:9757,python -m pytest <changed_tests> -q
sphinx__hist__0043,52787deb32305fad40569758e5d17180d729862a,4c91c038b220d07bbdfe0c1680af42fe897f342c,2021-10-30T16:40:54+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9775,python -m pytest <changed_tests> -q
sphinx__hist__0044,b8844eb339df03b894a88b1eaf5859ebd443c792,2b5c55e45a0fc4e2197a9b8edb482b77c2fa3f85,2021-10-31T00:26:03+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py,pr_or_issue:9781,python -m pytest <changed_tests> -q
sphinx__hist__0045,203094b4c3d0db34527281bd29601ab418325d5c,8e350495b08fe5b06099ff85e3177ebd250e9181,2021-11-09T01:29:52+09:00,pre_2022,builders,normal,sphinx/application.py;sphinx/builders/__init__.py;sphinx/config.py;sphinx/util/i18n.py,tests/test_intl.py,tests/test_intl.py,pr_or_issue:9618,python -m pytest <changed_tests> -q
sphinx__hist__0046,4cd19b8274de7513203738c7a5b6d9d32775cd67,8e350495b08fe5b06099ff85e3177ebd250e9181,2021-11-09T01:54:56+09:00,pre_2022,extensions,normal,sphinx/ext/mathjax.py,tests/test_ext_math.py,tests/test_ext_math.py,pr_or_issue:9450,python -m pytest <changed_tests> -q
sphinx__hist__0047,ad0071ddb767602588dd472d8c4abd56146859df,cee86909b9f4ca338bc41168e91226de520369c6,2021-11-09T13:14:39+11:00,pre_2022,extensions,normal,sphinx/ext/autosummary/__init__.py;sphinx/ext/autosummary/generate.py,tests/roots/test-ext-autosummary/autosummary_dummy_module.py;tests/test_ext_autosummary.py,tests/test_ext_autosummary.py,pr_or_issue:2021,python -m pytest <changed_tests> -q
sphinx__hist__0048,e2c6146b3eddd29851334f5536f8d9f90a9eef36,e5424b38e981b7b61184583a7ebc8c124d1e9a1e,2021-11-18T02:03:43+09:00,pre_2022,extensions,normal,sphinx/ext/mathjax.py,tests/test_ext_math.py,tests/test_ext_math.py,pr_or_issue:9864,python -m pytest <changed_tests> -q
sphinx__hist__0049,fb92547b911cdbe2c766e513cc179a017dcc6705,647314133d7a9a524087eddd9c21203010cb4aa7,2021-11-21T11:25:48+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/classes.py;tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoclass.py,pr_or_issue:9866,python -m pytest <changed_tests> -q
sphinx__hist__0050,f88ac53e517d4c2d72faaf96000fe4079844acfd,f780210b6ab16516d30abc713db280c0d3f9cdde,2021-11-26T01:35:40+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/mock.py,tests/roots/test-ext-autodoc/target/need_mocks.py;tests/test_ext_autodoc_configs.py;tests/test_ext_autodoc_mock.py,tests/test_ext_autodoc_configs.py;tests/test_ext_autodoc_mock.py,pr_or_issue:9883,python -m pytest <changed_tests> -q
sphinx__hist__0051,acaf70596e779af890a7bc4a4b724387dd8661fe,f780210b6ab16516d30abc713db280c0d3f9cdde,2021-11-28T14:46:34+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9899,python -m pytest <changed_tests> -q
sphinx__hist__0052,c71ff1cd21ce796f871adef54e8a53c0eaa9e53a,5aa6cbbca85ddc3fe5dd93d45a7cf5073db2f334,2021-12-03T01:28:10+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:9075,python -m pytest <changed_tests> -q
sphinx__hist__0053,a9a9bd25632235911058779dec017f330c234164,8d0fd9e74a6d44ca1a518225d9be030d91917c9b,2021-12-17T01:45:18+09:00,pre_2022,util,normal,sphinx/util/logging.py,tests/test_util_logging.py,tests/test_util_logging.py,pr_or_issue:9979,python -m pytest <changed_tests> -q
sphinx__hist__0054,e7e08d2a784d1e87aded58186bff776d6de42213,8d0fd9e74a6d44ca1a518225d9be030d91917c9b,2021-12-18T15:22:10+09:00,pre_2022,core_or_other,normal,sphinx/pycode/parser.py,tests/test_pycode.py,tests/test_pycode.py,pr_or_issue:9968,python -m pytest <changed_tests> -q
sphinx__hist__0055,94cbce69daec2f12b131ea7463c0ab1bf8fdb03f,49f576569c6e4a63e762707a7fdf6a6ec31de985,2021-12-20T01:53:20+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9194,python -m pytest <changed_tests> -q
sphinx__hist__0056,9e8e3f9a6efa3f30ecd873a21eca0bfb721588bf,2d1ed6471406278920ff679b2d8c22097240ae90,2021-12-20T12:07:20+01:00,pre_2022,core_or_other,normal,sphinx/writers/latex.py,tests/test_build_latex.py,tests/test_build_latex.py,pr_or_issue:9985,python -m pytest <changed_tests> -q
sphinx__hist__0057,e3ee8b378a37958f48d97d74a5c264f1f02e153e,40db5694faf8d74d34675a686960ca76d984042b,2021-12-21T02:51:59+09:00,pre_2022,domains,normal,sphinx/domains/std.py,tests/test_domain_std.py,tests/test_domain_std.py,pr_or_issue:9993,python -m pytest <changed_tests> -q
sphinx__hist__0058,a87153c018758a49b7dd601545c044576564652c,048fd80cb4eef2ce08b29441daec4d677a378fa2,2021-12-24T10:14:19+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:9931,python -m pytest <changed_tests> -q
sphinx__hist__0059,bdbad40f579bd7db7f837bfa998320658add3b89,0a5783f75b7ecf1aaa27a9e1b2b2c8a573a2bfb5,2021-12-24T10:50:04+09:00,pre_2022,util,wide_changed_test_oracle,sphinx/util/inspect.py;sphinx/util/typing.py,tests/test_ext_autodoc_autofunction.py;tests/test_ext_autodoc_automodule.py;tests/test_ext_autodoc_configs.py;tests/test_ext_autodoc_preserve_defaults.py;tests/test_util_inspect.py;tests/test_util_typing.py,tests/test_ext_autodoc_autofunction.py;tests/test_ext_autodoc_automodule.py;tests/test_ext_autodoc_configs.py;tests/test_ext_autodoc_preserve_defaults.py;tests/test_util_inspect.py;tests/test_util_typing.py,pr_or_issue:9194,python -m pytest <changed_tests> -q
sphinx__hist__0060,b5bf745f688a483edfb59e1c259a876e659afe9b,3f8cc41754255b7714d79b35f17a191b6d72caba,2021-12-25T19:35:55+09:00,pre_2022,core_or_other,normal,sphinx/application.py,tests/test_build_html.py,tests/test_build_html.py,pr_or_issue:10013,python -m pytest <changed_tests> -q
sphinx__hist__0061,1f71f85fd62eb4886b1cec0a4c15fbf9d0c4db8e,5da68c3de3a05f0498b1576f01397be6bad82f2d,2021-12-27T01:58:42+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:10015,python -m pytest <changed_tests> -q
sphinx__hist__0062,3fc98a2b3d6dec830caa19ecc8a1dadd80ebb6dd,6df45e0eadba5ac0e55296e67414b03dc24779b5,2022-01-01T14:54:08+09:00,2022_2023,extensions,wide_changed_test_oracle,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/genericalias.py;tests/roots/test-ext-autodoc/target/typevar.py;tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autodata.py;tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autodata.py;tests/test_ext_autodoc_configs.py,pr_or_issue:10027,python -m pytest <changed_tests> -q
sphinx__hist__0064,008005cc39838b37d2f78bdaf0d9cd3171cc3664,ce6803a18679f7085561b66ec1945ed4005e2d1d,2022-01-14T02:25:00+09:00,2022_2023,domains,normal,sphinx/domains/std.py,tests/test_domain_std.py,tests/test_domain_std.py,pr_or_issue:9981,python -m pytest <changed_tests> -q
sphinx__hist__0066,c6230dc4db7b4517db5f5f5c690d813b01c04d1a,a0679463a11487286595f13ca927598dee9b370f,2022-01-22T11:59:09+09:00,2022_2023,extensions,normal,sphinx/ext/extlinks.py,tests/roots/test-ext-extlinks-hardcoded-urls-multiple-replacements/conf.py;tests/roots/test-ext-extlinks-hardcoded-urls/conf.py;tests/test_ext_extlinks.py,tests/test_ext_extlinks.py,pr_or_issue:10126,python -m pytest <changed_tests> -q
sphinx__hist__0069,b0b51cecc27be0ead1b9fb46a7d5bd17d36fef8a,799385f5558a888d1a143bf703d06b66d6717fe4,2022-01-31T01:38:12+09:00,2022_2023,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/directive.py,tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autodata.py,tests/test_ext_autodoc_autoattribute.py;tests/test_ext_autodoc_autodata.py,pr_or_issue:10146,python -m pytest <changed_tests> -q
sphinx__hist__0071,105c583f0605d336c9fc981e49e7a4ed4ef25f30,73f980641c28660aaa2412fced5b747128e65931,2022-02-08T15:59:09Z,2022_2023,domains,normal,sphinx/domains/std.py,tests/test_domain_std.py,tests/test_domain_std.py,pr_or_issue:9993,python -m pytest <changed_tests> -q
sphinx__hist__0073,01d06f9ffe0cd2388156fb53287496f45165519c,6f0a8f3516063ebd3cbef503832f65e0f8adcc72,2022-02-13T20:19:41+09:00,2022_2023,core_or_other,normal,sphinx/writers/latex.py,tests/test_build_latex.py,tests/test_build_latex.py,pr_or_issue:10175,python -m pytest <changed_tests> -q
sphinx__hist__0075,f5e4e7081771a5fd5a0488d94e5fb425a0e41243,9141464b8bcd4f2ade902107872fd001655a5131,2022-04-02T16:55:48+09:00,2022_2023,extensions,normal,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py,pr_or_issue:10266,python -m pytest <changed_tests> -q
sphinx__hist__0078,a66adb1c32a4b2960f3d58874e0a0fa0b8a3d734,301c7bdf57eee47426c9ad4d96392bff623ee6c3,2022-04-17T03:09:11+09:00,2022_2023,util,normal,sphinx/util/inspect.py,tests/roots/test-ext-autodoc/target/autodoc_type_aliases.py;tests/test_ext_autodoc_configs.py;tests/test_util_inspect.py,tests/test_ext_autodoc_configs.py;tests/test_util_inspect.py,pr_or_issue:10305,python -m pytest <changed_tests> -q
sphinx__hist__0080,10dd5a0e436a3bc3457745358ab570c545508934,425a3e6c0926ab6d7163008760add359957b7d01,2022-05-07T19:52:25+09:00,2022_2023,extensions,normal,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py,pr_or_issue:10421,python -m pytest <changed_tests> -q
sphinx__hist__0082,d8a540e92281e5cf80a2b045ddc22e93bd93e7f5,23ab36bcd721128b46876eae6c3fdeef96885665,2022-05-14T23:00:54+09:00,2022_2023,extensions,normal,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:9575,python -m pytest <changed_tests> -q
sphinx__hist__0084,51c84e041f8e581eb04a041fb410341d152deafb,cab2d93076d0cca7c53fac885f927dde3e2a5fec,2022-05-23T00:37:45+09:00,2022_2023,builders,normal,sphinx/builders/gettext.py,tests/test_build_gettext.py,tests/test_build_gettext.py,pr_or_issue:10104,python -m pytest <changed_tests> -q
